
1,Ajmer Junction(AII),Starts,23:55,0,0 km,1,1
2,Jaipur(JP),02:25,02:40,15 min,135 km,2,1
3,Durgapura(DPA),02:49,02:51,2 min,142 km,2,1
4,Bansthali Niwai(BNLW),03:26,03:28,2 min,201 km,2,1
5,Sawai Madhopur(SWM),04:50,05:00,10 min,266 km,2,1
6,Agra Fort(AF),08:45,08:55,10 min,492 km,2,1
7,Tundla Junction(TDL),10:05,10:10,5 min,514 km,2,1
8,Firozabad(FZD),10:25,10:27,2 min,531 km,2,1
9,Kanpur Central(CNB),13:30,13:40,10 min,744 km,2,1
10,Allahabad Junction(ALD),16:35,16:45,10 min,938 km,2,1
11,Mughal Sarai Junction(MGS),19:25,19:40,15 min,1091 km,2,1
12,Ara(ARA),21:36,21:38,2 min,1253 km,2,1
13,Danapur(DNR),22:10,22:12,2 min,1293 km,2,1
14,Patna Junction(PNBE),22:35,22:45,10 min,1302 km,2,1
15,Rjndr Ngr Bihar(RJPB),23:05,Ends,0,1305 km,2,1
